"country","journal","discipline","position","n.authors","n.papers","genderRatios","low.CI.1","up.CI.1","current.rate.of.change","low.CI.2","up.CI.2","years.to.parity","low.CI.3","up.CI.3","r","c","qualitative.result"
"Belgium","allDisciplines","allDisciplines","overall",265877,56735,38.126,37.835,38.421,0.563,0.533,0.591,17.365,15.365,18.365,0.124,1.754,"Male-biased but improving"
"Bosnia","allDisciplines","allDisciplines","overall",5550,1583,50.013,48.263,50.121,-0.006,-0.04,0.044,4,NA,NA,0.776,-0.346,"Essentially at parity"
"Brazil","allDisciplines","allDisciplines","overall",582560,137274,47.566,47.284,47.823,0.142,0.117,0.161,0,0,0,0.122,0.282,"Essentially at parity"
"Bulgaria","allDisciplines","allDisciplines","overall",7727,2333,41.293,36.843,50,-3.242,-6.537,0.012,NA,NA,NA,-1.027,0,"Male-biased and becoming more so"
"Canada","allDisciplines","allDisciplines","overall",1147518,326446,38.674,38.516,38.842,0.214,0.194,0.232,40.365,36.365,45.365,0.049,0.879,"Male-biased but improving"
"Chile","allDisciplines","allDisciplines","overall",72159,16244,36.79,36.121,37.419,0.145,0.055,0.221,78.365,48.365,225.39,0.029,0.918,"Male-biased but improving"
"China","allDisciplines","allDisciplines","overall",728394,586168,45.353,45.15,45.546,0.18,0.154,0.202,0,0,0,0.085,0.415,"Essentially at parity"
"Colombia","allDisciplines","allDisciplines","overall",25396,6635,36.232,35.191,37.383,-0.474,-0.699,-0.257,NA,NA,NA,-0.095,0.346,"Male-biased and becoming more so"
"Croatia","allDisciplines","allDisciplines","overall",38356,8912,41.696,38.519,49.924,-3.403,-5.746,0.12,NA,NA,NA,-1.169,0,"Male-biased and becoming more so"
"Cuba","allDisciplines","allDisciplines","overall",12896,2506,45.952,44.425,47.246,0.209,0.073,0.284,13,NA,NA,0.114,0.452,"Essentially at parity"
"Czech Republic","allDisciplines","allDisciplines","overall",101848,22102,37.694,37.186,38.215,0.383,0.32,0.443,26.365,21.365,34.365,0.083,1.299,"Male-biased but improving"
"Denmark","allDisciplines","allDisciplines","overall",278283,64992,37.65,37.37,37.957,0.543,0.513,0.573,19.365,17.365,21.365,0.117,1.734,"Male-biased but improving"
"Egypt","allDisciplines","allDisciplines","overall",53094,18997,43.428,42.792,43.996,0.589,0.543,0.626,3.365,2.365,5.365,0.207,1.687,"Male-biased but improving"
"Estonia","allDisciplines","allDisciplines","overall",15742,3014,35.043,32.939,37.298,-4.319,-5.679,-2.963,NA,NA,NA,-0.827,0.001,"Male-biased and becoming more so"
"Finland","allDisciplines","allDisciplines","overall",216158,45842,43.757,43.39,44.09,0.347,0.319,0.369,4.365,3.365,6.365,0.127,0.82,"Male-biased but improving"
"France","allDisciplines","allDisciplines","overall",1182682,261677,37.599,37.435,37.764,0,-0.023,0.023,NA,NA,NA,0,0.659,""
"Germany","allDisciplines","allDisciplines","overall",1614759,365776,32.269,32.145,32.414,0.589,0.574,0.605,31.365,30.365,32.365,0.103,2.587,"Male-biased but improving"
"Ghana","allDisciplines","allDisciplines","overall",6225,1585,33.98,32.196,35.651,0.823,0.553,1.076,19.365,13.365,32.365,0.15,3.315,"Male-biased but improving"
"Greece","allDisciplines","allDisciplines","overall",128406,28682,33.795,33.282,34.321,0.542,0.485,0.597,30.365,26.365,35.365,0.099,2.185,"Male-biased but improving"
"Hong Kong","allDisciplines","allDisciplines","overall",31193,14392,42.999,42.148,43.825,0.378,0.303,0.439,6.365,3.365,11.365,0.125,0.924,"Male-biased but improving"
"Hungary","allDisciplines","allDisciplines","overall",68993,16606,40.158,39.481,40.801,0.33,0.258,0.391,19.365,14.365,28.365,0.083,0.978,"Male-biased but improving"
"Iceland","allDisciplines","allDisciplines","overall",11838,2144,40.229,38.709,41.711,0.085,-0.138,0.266,NA,NA,NA,0.022,0.587,"Male-biased but improving"
"India","allDisciplines","allDisciplines","overall",393235,176014,30.221,29.953,30.482,-0.025,-0.064,0.017,NA,NA,NA,-0.004,1.268,"Male-biased and becoming more so"
"Indonesia","allDisciplines","allDisciplines","overall",36680,7333,42.981,42.171,43.731,0.333,0.251,0.399,7.365,4.365,13.365,0.109,0.813,"Male-biased but improving"
"Iran","allDisciplines","allDisciplines","overall",146147,59163,34.558,34.137,34.986,0.897,0.841,0.96,17.365,15.365,18.365,0.168,3.628,"Male-biased but improving"
"Ireland","allDisciplines","allDisciplines","overall",105132,26088,40.437,39.974,40.892,0.442,0.394,0.489,13.365,11.365,17.365,0.114,1.225,"Male-biased but improving"
"Israel","allDisciplines","allDisciplines","overall",215338,59941,39.322,38.924,39.727,0.319,0.281,0.356,24.365,20.365,29.365,0.076,1.023,"Male-biased but improving"
"Italy","allDisciplines","allDisciplines","overall",1283928,234737,42.341,42.172,42.492,0.272,0.257,0.287,12.365,11.365,13.365,0.084,0.727,"Male-biased but improving"
"Japan","allDisciplines","allDisciplines","overall",1665658,414824,20.366,20.244,20.504,0.22,0.204,0.236,142.365,132.34,152.365,0.036,3.939,"Male-biased but improving"
"Kenya","allDisciplines","allDisciplines","overall",11262,2095,39.147,37.853,40.392,0.608,0.448,0.741,13.365,8.365,21.365,0.142,1.817,"Male-biased but improving"
"Lithuania","allDisciplines","allDisciplines","overall",13686,4073,50,49.998,50,0,0,0.001,4,NA,NA,1.75,4.26,"Essentially at parity"
"Luxembourg","allDisciplines","allDisciplines","overall",6937,1463,38.271,36.668,39.852,0.422,0.173,0.64,22.365,12.365,65.415,0.092,1.322,"Male-biased but improving"
"Malaysia","allDisciplines","allDisciplines","overall",44615,17191,37.089,36.404,37.791,0.188,0.047,0.321,67,NA,NA,0.04,0.972,"Male-biased but improving"
"Mexico","allDisciplines","allDisciplines","overall",94572,23602,39.683,39.173,40.225,0.29,0.225,0.353,24.365,18.365,34.365,0.071,0.938,"Male-biased but improving"
"Morocco","allDisciplines","allDisciplines","overall",9226,2650,41.419,39.892,42.962,0.694,0.543,0.802,7.365,3.365,12.365,0.194,2.09,"Male-biased but improving"
"Netherlands","allDisciplines","allDisciplines","overall",655968,149051,38.597,38.399,38.804,0.744,0.727,0.761,12.365,11.365,12.365,0.169,2.412,"Male-biased but improving"
"New Zealand","allDisciplines","allDisciplines","overall",112345,32529,37.857,37.326,38.314,0.112,0.038,0.175,115,NA,NA,0.024,0.786,"Male-biased but improving"
"Nigeria","allDisciplines","allDisciplines","overall",13901,6209,30.335,29.037,31.617,0.539,0.327,0.725,39.365,27.365,69.365,0.091,2.768,"Male-biased but improving"
"Norway","allDisciplines","allDisciplines","overall",178498,44077,40.978,40.626,41.302,0.6,0.57,0.626,9.365,8.365,10.365,0.162,1.699,"Male-biased but improving"
"Pakistan","allDisciplines","allDisciplines","overall",32735,9740,33.915,33.016,34.79,0.299,0.164,0.436,53.365,34.365,102.365,0.056,1.505,"Male-biased but improving"
"Peru","allDisciplines","allDisciplines","overall",8354,2034,35.903,34.258,37.606,0.626,0.414,0.796,21.365,14.365,36.365,0.123,2.182,"Male-biased but improving"
"Philippines","allDisciplines","allDisciplines","overall",6297,1514,37.066,34.614,39.229,-1.422,-2.418,-0.726,NA,NA,NA,-0.292,0.061,"Male-biased and becoming more so"
"Poland","allDisciplines","allDisciplines","overall",206432,54878,47.099,46.71,47.477,0.129,0.088,0.159,0,0,0,0.096,0.272,"Essentially at parity"
"Portugal","allDisciplines","allDisciplines","overall",165128,38417,48.97,48.208,49.456,0.106,0.04,0.121,0,NA,NA,0.219,0.26,"Essentially at parity"
"Romania","allDisciplines","allDisciplines","overall",31659,8536,53.351,52.935,53.718,-0.353,-0.38,-0.324,0,0,0,0.199,-0.651,"Essentially at parity"
"Russia","allDisciplines","allDisciplines","overall",78473,19205,35.386,34.772,35.951,-0.186,-0.29,-0.093,NA,NA,NA,-0.036,0.612,"Male-biased and becoming more so"
"Saudi Arabia","allDisciplines","allDisciplines","overall",53003,16785,27.482,26.927,28.068,0.83,0.736,0.922,30.365,26.365,34.365,0.134,4.991,"Male-biased but improving"
"Serbia","allDisciplines","allDisciplines","overall",43829,10052,53.596,52.914,54.267,-0.021,-0.101,0.088,0,NA,NA,0.012,-0.147,"Essentially at parity"
"Singapore","allDisciplines","allDisciplines","overall",91369,34362,35.287,34.749,35.823,0.358,0.281,0.427,39.365,31.34,51.39,0.069,1.48,"Male-biased but improving"
"Slovakia","allDisciplines","allDisciplines","overall",24242,5541,45.136,43.754,46.333,0.147,-0.056,0.254,15,NA,NA,0.065,0.37,"Essentially at parity"
"Slovenia","allDisciplines","allDisciplines","overall",22933,6612,43.794,42.786,44.968,0.235,0.132,0.332,6.365,0.365,19.365,0.088,0.585,"Male-biased but improving"
"South Africa","allDisciplines","allDisciplines","overall",52935,13701,40.61,40.011,41.189,0.152,0.052,0.25,45,NA,NA,0.04,0.646,"Male-biased but improving"
"South Korea","allDisciplines","allDisciplines","overall",323704,174546,38.736,38.448,39.053,0.325,0.292,0.363,26.365,22.365,30.365,0.075,1.084,"Male-biased but improving"
"Spain","allDisciplines","allDisciplines","overall",662327,140368,43.114,42.915,43.295,0.376,0.36,0.393,6.365,5.365,7.365,0.127,0.917,"Male-biased but improving"
"Sweden","allDisciplines","allDisciplines","overall",369602,98402,40.598,40.291,40.879,0.399,0.374,0.426,14.365,12.365,16.365,0.104,1.104,"Male-biased but improving"
"Switzerland","allDisciplines","allDisciplines","overall",359480,85525,33.286,33.034,33.542,0.542,0.509,0.573,31.365,29.365,34.365,0.098,2.259,"Male-biased but improving"
"Taiwan","allDisciplines","allDisciplines","overall",24292,67716,36.42,34.958,37.668,-0.166,-0.378,0.01,NA,NA,NA,-0.035,0.56,"Male-biased and becoming more so"
"Thailand","allDisciplines","allDisciplines","overall",50809,23762,43.219,42.282,44.135,-0.037,-0.201,0.097,NA,NA,NA,-0.012,0.283,"Male-biased and becoming more so"
"Tunisia","allDisciplines","allDisciplines","overall",24388,5110,48.473,47.911,48.907,0.307,0.253,0.356,0,0,0,0.417,2.019,"Essentially at parity"
"Turkey","allDisciplines","allDisciplines","overall",434962,116440,33.685,33.415,33.949,0.267,0.235,0.297,61.365,53.365,70.365,0.049,1.45,"Male-biased but improving"
"Uganda","allDisciplines","allDisciplines","overall",12632,2507,40.167,38.851,41.4,0.478,0.299,0.631,13.365,8.365,26.365,0.121,1.346,"Male-biased but improving"
"Ukraine","allDisciplines","allDisciplines","overall",9066,2715,35.236,33.817,36.644,0.365,0.152,0.548,38.365,22.365,103.39,0.071,1.513,"Male-biased but improving"
"UAE","allDisciplines","allDisciplines","overall",7376,2528,33.855,32.122,35.455,0.804,0.593,1.005,20.365,14.365,31.39,0.147,3.238,"Male-biased but improving"
"United Kingdom","allDisciplines","allDisciplines","overall",1116221,313649,38.175,38.015,38.329,0.407,0.392,0.423,23.365,21.365,24.365,0.09,1.312,"Male-biased but improving"
"Uruguay","allDisciplines","allDisciplines","overall",13062,2543,38.975,37.612,40.46,-0.073,-0.345,0.153,NA,NA,NA,-0.017,0.488,"Male-biased and becoming more so"
"USA","allDisciplines","allDisciplines","overall",9275582,2818284,38.449,38.389,38.51,0.414,0.408,0.42,21.365,21.365,22.365,0.093,1.305,"Male-biased but improving"
"Venezuela","allDisciplines","allDisciplines","overall",12356,2772,28.789,25.429,32.619,-6.902,-9.867,-3.973,NA,NA,NA,-1.134,0,"Male-biased and becoming more so"
"Argentina","All journals","Allergy and Immunology","overall",1347,256,50,49.998,68.554,0.001,0,3.722,NA,NA,NA,2.432,-2.928,"Essentially at parity"
"Australia","All journals","Allergy and Immunology","overall",6839,1537,42.025,39.725,44.065,0.238,-0.021,0.416,26,NA,NA,0.073,0.696,"Male-biased but improving"
"Austria","All journals","Allergy and Immunology","overall",2444,435,41.8,37.336,45.387,0.455,-0.029,0.648,21,NA,NA,0.132,1.179,"Male-biased but improving"
"Belgium","All journals","Allergy and Immunology","overall",2382,462,40.012,36.572,43.648,0.254,-0.266,0.574,NA,NA,NA,0.066,0.858,"Male-biased but improving"
"Brazil","All journals","Allergy and Immunology","overall",5403,976,53.88,50,56.463,0.021,-0.134,0.422,NA,NA,NA,-0.029,-0.119,"Essentially at parity"
"Canada","All journals","Allergy and Immunology","overall",7683,1959,38.05,36.044,40.082,-0.019,-0.346,0.244,NA,NA,NA,-0.004,0.61,"Male-biased and becoming more so"
"Chile","All journals","Allergy and Immunology","overall",730,127,35.579,23.118,43.898,-0.107,-2.729,0.676,NA,NA,NA,-0.017,0.683,"Male-biased and becoming more so"
"China","All journals","Allergy and Immunology","overall",6667,5072,49.748,49.194,49.951,0.072,0.02,0.144,0,0,0,0.571,1.204,"Essentially at parity"
"Cuba","All journals","Allergy and Immunology","overall",756,117,49.991,48.97,50,0.004,0,0.118,5,NA,NA,0.889,1.205,"Essentially at parity"
"Czech Republic","All journals","Allergy and Immunology","overall",652,115,45.114,33.969,50,0,-2.368,0.29,NA,NA,NA,-0.075,0.144,"Essentially at parity"
"Denmark","All journals","Allergy and Immunology","overall",2211,461,36.928,32.855,40.943,-0.042,-0.605,0.393,NA,NA,NA,-0.009,0.653,"Male-biased and becoming more so"
"Finland","All journals","Allergy and Immunology","overall",1304,260,49.998,49.841,53.288,0.001,0,0.073,NA,NA,NA,0.826,0.266,"Essentially at parity"
"France","All journals","Allergy and Immunology","overall",10037,2170,43.411,41.374,45.446,-0.07,-0.4,0.16,NA,NA,NA,-0.022,0.25,"Male-biased and becoming more so"
"Germany","All journals","Allergy and Immunology","overall",12706,2591,38.975,37.299,40.47,0.461,0.306,0.588,18.365,10.365,34.365,0.106,1.378,"Male-biased but improving"
"Greece","All journals","Allergy and Immunology","overall",1006,214,34.354,20.409,41.152,-0.478,-5.259,0.464,NA,NA,NA,-0.083,0.446,"Male-biased and becoming more so"
"India","All journals","Allergy and Immunology","overall",2676,921,29.873,26.435,33.098,-0.615,-1.207,-0.024,NA,NA,NA,-0.099,0.587,"Male-biased and becoming more so"
"Iran","All journals","Allergy and Immunology","overall",1225,320,32.423,28.13,36.738,-0.166,-0.96,0.509,NA,NA,NA,-0.026,0.855,"Male-biased and becoming more so"
"Ireland","All journals","Allergy and Immunology","overall",753,172,46.179,34.915,50.03,-0.008,-2.184,0.161,NA,NA,NA,1.411,-0.702,"Essentially at parity"
"Israel","All journals","Allergy and Immunology","overall",2155,560,37.08,32.095,41.678,-0.352,-1.213,0.224,NA,NA,NA,-0.074,0.375,"Male-biased and becoming more so"
"Italy","All journals","Allergy and Immunology","overall",12149,2124,48.908,46.232,50,0,-0.512,0.083,0,NA,NA,0.006,0.061,"Essentially at parity"
"Japan","All journals","Allergy and Immunology","overall",13740,3271,25.499,23.889,27.016,0.221,0.031,0.388,112,NA,NA,0.035,2.568,"Male-biased but improving"
"Mexico","All journals","Allergy and Immunology","overall",1475,301,41.638,37.16,45.404,0.154,-0.502,0.484,NA,NA,NA,0.044,0.582,"Male-biased but improving"
"Netherlands","All journals","Allergy and Immunology","overall",5870,1216,42.32,40.421,44.213,0.595,0.454,0.69,5.365,1.365,13.365,0.183,1.662,"Male-biased but improving"
"New Zealand","All journals","Allergy and Immunology","overall",594,145,49.936,21.997,50,0.002,-12.709,0.36,NA,NA,NA,1.048,4.326,"Essentially at parity"
"Norway","All journals","Allergy and Immunology","overall",1281,274,44.909,40.074,48.67,0.26,-0.374,0.465,NA,NA,NA,0.135,0.672,"Male-biased but improving"
"Poland","All journals","Allergy and Immunology","overall",1464,329,50,49.896,53.913,0,-0.06,0.225,NA,NA,NA,13.592,131747218.609,"Essentially at parity"
"Portugal","All journals","Allergy and Immunology","overall",623,128,50,36.34,50.623,0,-2.917,0.169,NA,NA,NA,-0.467,0.005,"Essentially at parity"
"South Korea","All journals","Allergy and Immunology","overall",2077,1191,38.379,34.075,42.05,0.399,-0.253,0.758,NA,NA,NA,0.089,1.284,"Male-biased but improving"
"Spain","All journals","Allergy and Immunology","overall",4539,790,47.702,45.9,49.091,0.252,0.142,0.332,10,NA,NA,0.249,0.742,"Essentially at parity"
"Sweden","All journals","Allergy and Immunology","overall",3558,843,49.463,46.761,49.986,0.126,0.005,0.266,7,NA,NA,0.474,1.19,"Essentially at parity"
"Switzerland","All journals","Allergy and Immunology","overall",3364,712,39.019,36.052,41.637,0.164,-0.215,0.424,NA,NA,NA,0.038,0.775,"Male-biased but improving"
"Turkey","All journals","Allergy and Immunology","overall",1909,447,38.048,33.19,50.006,-1.674,-3.287,0,NA,NA,NA,-0.385,0.026,"Male-biased and becoming more so"
"United Kingdom","All journals","Allergy and Immunology","overall",8147,1992,40.678,38.506,42.633,0.191,-0.071,0.371,NA,NA,NA,0.048,0.689,"Male-biased but improving"
"USA","All journals","Allergy and Immunology","overall",83245,22141,40.628,39.996,41.249,0.297,0.235,0.358,19.365,13.365,27.39,0.078,0.881,"Male-biased but improving"
"Australia","All journals","Anatomy","overall",868,265,30.341,17.404,41.555,-1.229,-3.563,0.239,NA,NA,NA,-0.208,0.224,"Male-biased and becoming more so"
"Brazil","All journals","Anatomy","overall",848,216,46.672,38.814,49.879,0.217,-0.801,0.419,NA,NA,NA,0.177,0.647,"Essentially at parity"
"Canada","All journals","Anatomy","overall",1224,389,32.29,24.429,39.179,-0.999,-2.78,0.03,NA,NA,NA,-0.183,0.24,"Male-biased and becoming more so"
"China","All journals","Anatomy","overall",631,411,38.568,12.339,50.001,-1.376,-9.969,0.313,NA,NA,NA,-0.399,0.023,"Male-biased and becoming more so"
"France","All journals","Anatomy","overall",873,227,27.238,13.797,41.488,-2.6,-5.266,-0.019,NA,NA,NA,-0.43,0.046,"Male-biased and becoming more so"
"Germany","All journals","Anatomy","overall",2800,827,31.025,27.191,34.864,0.247,-0.201,0.648,NA,NA,NA,0.041,1.732,"Male-biased but improving"
"Italy","All journals","Anatomy","overall",2240,477,46.776,42.018,49.108,0.272,-0.045,0.378,11,NA,NA,0.206,0.752,"Essentially at parity"
"Japan","All journals","Anatomy","overall",3315,1017,22.172,19.045,25.526,-0.063,-0.422,0.324,NA,NA,NA,-0.009,2.315,"Male-biased and becoming more so"
"Spain","All journals","Anatomy","overall",930,235,30.522,23.848,36.652,-0.805,-1.943,0.081,NA,NA,NA,-0.137,0.407,"Male-biased and becoming more so"
"Turkey","All journals","Anatomy","overall",693,197,36.609,28.503,44.024,0.898,0.219,1.23,27,NA,NA,0.188,3.491,"Male-biased but improving"
"United Kingdom","All journals","Anatomy","overall",1653,544,37.921,32.706,42.382,0.021,-0.621,0.438,NA,NA,NA,0.002,0.659,"Male-biased but improving"
"USA","All journals","Anatomy","overall",11506,3784,38.737,36.342,40.818,0.191,-0.082,0.378,NA,NA,NA,0.044,0.835,"Male-biased but improving"
"Australia","All journals","Anesthesiology","overall",1350,401,32.381,28.012,36.659,0.377,-0.15,0.845,NA,NA,NA,0.066,1.877,"Male-biased but improving"
"Austria","All journals","Anesthesiology","overall",1680,323,31.932,27.173,36.517,0.765,0.305,1.078,40,NA,NA,0.133,3.398,"Male-biased but improving"
"Belgium","All journals","Anesthesiology","overall",1439,358,26.826,23.02,30.565,0.137,-0.342,0.606,NA,NA,NA,0.023,2.08,"Male-biased but improving"
"Brazil","All journals","Anesthesiology","overall",2016,567,42.802,39.092,45.668,0.257,-0.276,0.524,NA,NA,NA,0.081,0.665,"Male-biased but improving"
"Canada","All journals","Anesthesiology","overall",7808,2124,32.219,30.458,34.027,0.386,0.161,0.597,47.365,27.365,130.365,0.066,1.922,"Male-biased but improving"
"China","All journals","Anesthesiology","overall",695,589,45.966,41.348,49.076,0.363,-0.189,0.628,13,NA,NA,0.214,1.056,"Essentially at parity"
"Denmark","All journals","Anesthesiology","overall",959,233,27.726,22.974,32.771,-0.241,-0.985,0.479,NA,NA,NA,-0.039,1.16,"Male-biased and becoming more so"
"Finland","All journals","Anesthesiology","overall",679,140,47.542,42.798,49.591,0.552,0.163,0.852,0,0,4.365,0.465,5.221,"Essentially at parity"
"France","All journals","Anesthesiology","overall",4839,1014,28.52,25.898,31.013,0.374,0.086,0.629,65,NA,NA,0.061,2.505,"Male-biased but improving"
"Germany","All journals","Anesthesiology","overall",6085,1275,22.975,20.888,25.151,0.497,0.264,0.755,59.365,37.365,117.365,0.081,4.612,"Male-biased but improving"
"India","All journals","Anesthesiology","overall",5361,2906,38.629,35.639,41.087,0.778,0.331,1.052,26,NA,NA,0.178,2.577,"Male-biased but improving"
"Iran","All journals","Anesthesiology","overall",590,239,19.545,12.511,27.891,-0.297,-1.211,0.983,NA,NA,NA,-0.046,2.114,"Male-biased and becoming more so"
"Israel","All journals","Anesthesiology","overall",826,195,21.623,14.978,28.484,0.288,-0.364,0.974,NA,NA,NA,0.046,3.807,"Male-biased but improving"
"Italy","All journals","Anesthesiology","overall",2442,480,27.794,24.56,31.28,-0.54,-1.032,-0.081,NA,NA,NA,-0.09,0.76,"Male-biased and becoming more so"
"Japan","All journals","Anesthesiology","overall",13253,3805,27.682,25.971,29.552,0.618,0.439,0.804,40.365,28.365,61.365,0.1,3.696,"Male-biased but improving"
"Netherlands","All journals","Anesthesiology","overall",2179,468,27.868,24.038,31.254,0.78,0.307,1.196,31.365,17.365,91.39,0.129,4.61,"Male-biased but improving"
"South Korea","All journals","Anesthesiology","overall",2226,1520,44.004,40.384,46.376,0.626,0.242,0.814,18,NA,NA,0.237,1.986,"Male-biased but improving"
"Spain","All journals","Anesthesiology","overall",1226,255,34.39,29.776,38.942,-0.154,-1.092,0.456,NA,NA,NA,-0.031,0.703,"Male-biased and becoming more so"
"Sweden","All journals","Anesthesiology","overall",796,220,26.108,20.459,32.125,-0.069,-0.764,0.633,NA,NA,NA,-0.01,1.674,"Male-biased and becoming more so"
"Switzerland","All journals","Anesthesiology","overall",1827,444,32.96,28.72,36.416,0.636,0.179,0.974,37,NA,NA,0.112,2.642,"Male-biased but improving"
"Turkey","All journals","Anesthesiology","overall",2163,828,44.352,39.967,47.689,0.172,-0.532,0.369,NA,NA,NA,0.069,0.444,"Male-biased but improving"
"United Kingdom","All journals","Anesthesiology","overall",1832,613,31.412,27.847,35.113,0.409,-0.032,0.821,NA,NA,NA,0.073,2.149,"Male-biased but improving"
"USA","All journals","Anesthesiology","overall",35488,11258,29.257,28.373,30.166,0.356,0.25,0.455,63.365,47.365,94.365,0.059,2.305,"Male-biased but improving"
"Croatia","All journals","Anthropology","overall",8151,1765,49.213,44.765,49.906,0.129,-0.297,0.204,7,NA,NA,0.37,0.711,"Essentially at parity"
"France","All journals","Anthropology","overall",690,196,27.391,20.935,33.827,-0.43,-1.443,0.543,NA,NA,NA,-0.069,0.93,"Male-biased and becoming more so"
"Germany","All journals","Anthropology","overall",879,284,37.982,31.352,43.085,0.066,-1.078,0.639,NA,NA,NA,0.012,0.707,"Male-biased but improving"
"Italy","All journals","Anthropology","overall",771,187,46.963,19.312,50,0,-13.057,0.301,NA,NA,NA,0.055,0.247,"Essentially at parity"
"Spain","All journals","Anthropology","overall",803,198,30.613,22.812,37.82,-0.784,-2.941,0.378,NA,NA,NA,-0.134,0.412,"Male-biased and becoming more so"
"USA","All journals","Anthropology","overall",4868,1933,42.68,40.529,44.401,0.541,0.39,0.64,5.365,1.365,14.365,0.171,1.442,"Male-biased but improving"
"Argentina","All journals","Anti-Infective Agents","overall",698,133,51.748,50,55.974,-0.143,-0.299,0.013,9,NA,NA,0.186,-0.343,"Essentially at parity"
"Australia","All journals","Anti-Infective Agents","overall",2893,653,35.097,31.805,38.034,-0.136,-0.636,0.287,NA,NA,NA,-0.027,0.684,"Male-biased and becoming more so"
"Austria","All journals","Anti-Infective Agents","overall",1270,235,35.017,29.867,39.861,0.274,-0.381,0.72,NA,NA,NA,0.057,1.353,"Male-biased but improving"
"Belgium","All journals","Anti-Infective Agents","overall",2312,426,39.781,35.836,43.465,0.276,-0.221,0.583,NA,NA,NA,0.068,0.907,"Male-biased but improving"
"Brazil","All journals","Anti-Infective Agents","overall",1906,366,49.996,49.945,50,0.002,0,0.022,5,NA,NA,1.096,2.021,"Essentially at parity"
"Canada","All journals","Anti-Infective Agents","overall",3707,903,33.808,30.19,36.946,-0.299,-0.854,0.114,NA,NA,NA,-0.058,0.595,"Male-biased and becoming more so"
